title,artist,bpm
End Of The Empire Iv Sagittarius A,Arcade Fire,141
Here Comes The Sun,The Beatles,129
Here There And Everywhere,The Beatles,165
Ive Just Seen A Face,The Beatles,120
Julia,The Beatles,67
Something,The Beatles,67
Strawberry Fields Forever,The Beatles,91
Yesterday,The Beatles,97
Halleys Comet,Billie Eilish,72
Happier Than Ever,Billie Eilish,81
Tender,Blur,76
It Aint Me Babe,Bob Dylan,106
Jokerman,Bob Dylan,135
Katies Been Gone,Bob Dylan,112
Tangled Up In Blue,Bob Dylan,101
Adam Raised A Cain,Bruce Springsteen,95
I'm On Fire,Bruce Springsteen,89
Im Goin Down,Bruce Springsteen,133
Costa Del Sol,C.V. Jørgensen,130
Entertaineren,C.V. Jørgensen,82
I En Blågrå Kupe,C.V. Jørgensen,106
Flying High,Country Joe and the Fish,127
Janis,Country Joe and the Fish,126
Not So Sweet Martha Lorraine,Country Joe and the Fish,110
Sad And Lonely Times,Country Joe and the Fish,141
Wooden Ships,"Crosby, Stills & Nash",158
Jumping Someone Elses Train,The Cure,92
Just Like Heaven,The Cure,152
Ashes To Ashes,David Bowie,120
Five Years,David Bowie,153
Golden Years,David Bowie,108
Heroes,David Bowie,112
Lady Stardust,David Bowie,129
Letter To Hermione,David Bowie,81
Rock N Roll Suicide,David Bowie,103
Sweet Thing,David Bowie,120
Tvc15,David Bowie,112
We Are The Dead,David Bowie,139
Ziggy Stardust,David Bowie,80
Ræven Og Tegnebogen,Drengene fra Angora,188
Tennisbolden,Drengene fra Angora,135
What I Am,Edie Brickell & New Bohemians,89
Gods Comic,Elvis Costello,97
So Like Candy,Elvis Costello,169
Bennys Badekar - Havfruesangen,Flemming Quist Møller,85
Bennys Badekar - Sørøversangen,Flemming Quist Møller,120
Calistan,Frank Black,146
Deamon Girl,Frank Black,155
Golden Shore,Frank Black,139
I Burn Today,Frank Black,89
I Heard Ramona Sing,Frank Black,106
I Want To Live On An Abstract Plain,Frank Black,130
Im Not Dead Im In Pittsburgh,Frank Black,139
In The Time Of My Ruin,Frank Black,135
Johnny Barleycorn,Frank Black,119
My Terrible Ways,Frank Black,112
Robert Onion,Frank Black,140
Sad old World,Frank Black,99
Selkie Bride,Frank Black,119
Song Of The Shrimp,Frank Black,173
Speedy Marie,Frank Black,126
St Francis Dam Disaster,Frank Black,156
Stupid Me,Frank Black,88
You Cant Crucify Yourself,Frank Black,115
How You Went So Far,Frank Black and the Catholics,132
How Could I Be Such A Fool,Frank Zappa,114
Love Of My Life,Frank Zappa,118
Status Back Baby,Frank Zappa,134
The Closer You Are,Frank Zappa,96
Counting Out Time,Genesis,180
Harold The Barrel,Genesis,118
The Carpet Crawlers,Genesis,73
I Saw The Light,Hank Williams,103
Jobs Tears,The Incredible String Band,89
Minotaurs Song,The Incredible String Band,122
Painting Box,The Incredible String Band,136
Crown Of Creation,Jefferson Airplane,135
Lather,Jefferson Airplane,82
The Farm,Jefferson Airplane,148
Asfaltballet,Jomfru Ane Band,120
Krisens danse makabre,Jomfru Ane Band,125
Mens vi drømmer,Jomfru Ane Band,120
Rebild '76,Jomfru Ane Band,120
Men Of Good Fortune,Lou Reed,150
Perfect Day,Lou Reed,145
Come Back From San Francisco,The Magnetic Fields,117
Deep Sea Diving Suit,The Magnetic Fields,143
Famous,The Magnetic Fields,147
I Dont Believe In The Sun,The Magnetic Fields,110
I Dont Want To Get Over You,The Magnetic Fields,120
Strange Powers,The Magnetic Fields,132
The Flowers She Sent And The Flowers She Said She Sent,The Magnetic Fields,131
First Of The Gang To Die,Morrissey,134
You Have Killed Me,Morrissey,130
Termodragten,Mouritz/Hørslev Projektet,118
Hey Hey My My Into The Black,Neil Young,122
The Lovers That Never Were,Paul McCartney,157
Falsk Matematik,Peps Blodsband,139
Hög Standard,Peps Blodsband,111
Styr Den Opp,Peps Blodsband,127
Allison,Pixies,157
Cactus,Pixies,116
Velouria,Pixies,125
Born Too Late,The Poni-Tails,85
Grillbaren,Røde Mor,118
Sommergryder,Shubidua,129
Heaven Knows Im Miserable Now,The Smiths,114
Sheila Take A Bow,The Smiths,125
Shoplifters Of The World Unite,The Smiths,169
Engel i min seng,Souvenirs,120
Spansk Poesi,Souvenirs,120
Ana Ng,They Might Be Giants,133
Another First Kiss,They Might Be Giants,93
Birdhouse In Your Soul,They Might Be Giants,100
Cant Keep Johnny Down,They Might Be Giants,168
Dead,They Might Be Giants,83
Dont Lets Start,They Might Be Giants,132
I Palindrome I,They Might Be Giants,142
Kiss Me Son Of God,They Might Be Giants,170
Lucky Ball And Chain,They Might Be Giants,108
Mammal,They Might Be Giants,131
Meet James Ensor,They Might Be Giants,186
Memo To Human Resources,They Might Be Giants,96
Metal Detector,They Might Be Giants,133
New York City,They Might Be Giants,105
Someone Keeps Moving My Chair,They Might Be Giants,145
We Want A Rock,They Might Be Giants,86
You Probably Get That A Lot,They Might Be Giants,80
Chocolate Jesus,Tom Waits,105
Christmas Card From A Hooker In Minneapolis,Tom Waits,112
Poor Edward,Tom Waits,84
Strange Weather,Tom Waits,101
Yesterday Is Here,Tom Waits,84
Dengang Far Var Dreng,Troels Trier,179
Din verden,Troels Trier,181
Fru Orlofski,Troels Trier,112
Gods Eller Guld,Troels Trier,128
Lolita,Troels Trier,127
Scarlett Dream,Troels Trier,125
Taxa,Troels Trier,128
Fantastiske Toyota,TV-2,132
Sommeren Slut,TV-2,120
Stjernen Over Bjerringbro,TV-2,122
Sænk Mine Skibe,TV-2,111
All Tomorrows Parties,The Velvet Underground,93
Candy Says,The Velvet Underground,79
Im Set Free,The Velvet Underground,92
Jesus,The Velvet Underground,89
Stephanie Says,The Velvet Underground,113
Sunday Morning,The Velvet Underground,106
Shes Not There,The Zombies,132
